fir_number,district_name,ps_name,crime_category,offence_from_dt,offence_to_dt,fir_reg_dt,mo_description,brief_facts
TG-HAN-03/0012/2024,Hanumakonda,TG-HAN-03,Chain Snatching,2024-03-27T19:47:00,2024-03-27T19:58:00,2024-03-28T15:29:00,Accused struck during the day; appear to have picked the target by chance; rode a motorcycle; fled on a two-wheeler; targeted a victim who was walking; had their faces covered; left no sign of tools; escaped along the main road; came on a two-wheeler.,"Case registered at TG-HAN-03 on a complaint of chain snatching committed between 2024-03-27T19:47:00 and 2024-03-27T19:58:00. It is stated that the accused appear to have picked the target by chance, rode a motorcycle, fled on a two-wheeler, targeted a victim who was walking, had their faces covered, left no sign of tools, escaped along the main road and came on a two-wheeler. Neighbours stated they did not hear anything unusual. The complainant has submitted bills for some of the items."
TG-NIZ-05/0011/2024,Nizamabad,TG-NIZ-05,MV Theft,2024-03-24,2024-03-25,2024-03-28T19:36:00,Accused took a vehicle; took it from the roadside; appear to have picked the target by chance; made no attempt to avoid identification; used a gas cutter; started it by joining the wires.,"The complainant reported vehicle theft that occurred between 2024-03-24 and 2024-03-25 in Nizamabad. It is stated that the accused took a vehicle, took it from the roadside, appear to have picked the target by chance, made no attempt to avoid identification, came on foot, used a gas cutter and started it by joining the wires. A spot panchnama was drawn up in the presence of witnesses. The total value of the stolen property is estimated at Rs. 50,208."
TG-NIZ-06/0018/2024,Nizamabad,TG-NIZ-06,Chain Snatching,2024-03-29T03:28:00,2024-03-29T03:35:00,2024-03-29T10:30:00,Accused were two or three persons; rode a motorcycle; escaped through the lanes; fled on a two-wheeler; appear to have picked the target by chance; took nothing; left no sign of tools; came on a two-wheeler; struck at night; targeted a victim who was walking; made no attempt to avoid identification.,"Complaint received at TG-NIZ-06 (Nizamabad) regarding chain snatching between 2024-03-29T03:28:00 and 2024-03-29T03:35:00. It is stated that the accused were two or three persons, rode a motorcycle, escaped through the lanes, appear to have picked the target by chance, took nothing, left no sign of tools, came on a two-wheeler, struck at night, targeted a victim who was walking and made no attempt to avoid identification. Neighbours stated they did not hear anything unusual. Fingerprint experts visited the scene."
TG-HAN-06/0012/2024,Hanumakonda,TG-HAN-06,Chain Snatching,2024-03-29T04:02:00,2024-03-29T04:07:00,2024-03-29T11:55:00,Accused struck early in the morning; targeted a victim who was walking; escaped towards the highway; took gold ornaments; took cash; rode a motorcycle.,"Case registered at TG-HAN-06 on a complaint of chain snatching committed between 2024-03-29T04:02:00 and 2024-03-29T04:07:00. It is stated that the accused struck early in the morning, targeted a victim who was walking, escaped towards the highway, took gold ornaments, took cash and rode a motorcycle. The dog squad was summoned to the spot. Fingerprint experts visited the scene."
TG-RAN-03/0016/2024,Rangareddy,TG-RAN-03,HB - Residential,2024-03-27T10:25:00,2024-03-27T20:07:00,2024-03-29T12:32:00,Accused forced the door open; got in through the door; made no attempt to avoid identification; fled on foot; came on a two-wheeler; struck during the day; took cash; took electronic items; went straight to where the valuables were kept; used a screwdriver.,"Complaint received at TG-RAN-03 (Rangareddy) regarding house burglary between 2024-03-27T10:25:00 and 2024-03-27T20:07:00. It is stated that the accused got in through the door, made no attempt to avoid identification, fled on foot, struck while the occupants were out, came on a two-wheeler, appear to have had inside information, struck during the day, took cash, took electronic items, went straight to where the valuables were kept and used a screwdriver. A spot panchnama was drawn up in the presence of witnesses. Nearby shops were closed at the time."
TG-HAN-04/0018/2024,Hanumakonda,TG-HAN-04,MV Theft,2024-03-27T11:51:00,2024-03-28T02:08:00,2024-03-29T16:06:00,Accused were two or three persons; took a vehicle; stole a scooter; came on a two-wheeler; fled on a two-wheeler; found the key left in the vehicle; had their faces covered.,"Complaint received at TG-HAN-04 (Hanumakonda) regarding vehicle theft between 2024-03-27T11:51:00 and 2024-03-28T02:08:00. It is stated that the accused were two or three persons, took a vehicle, stole a scooter, found the key left in the vehicle and had their faces covered. Enquiries with nearby residents are in progress."
TG-HYD-02/0011/2024,Hyderabad,TG-HYD-02,Chain Snatching,2024-03-29T05:58:00,2024-03-29T06:06:00,2024-03-30T05:44:00,Accused escaped through the lanes; rode a motorcycle; struck early in the morning; took gold ornaments; were two or three persons; made no attempt to avoid identification; left no sign of tools.,"Complaint received at TG-HYD-02 (Hyderabad) regarding chain snatching between 2024-03-29T05:58:00 and 2024-03-29T06:06:00. It is stated that the accused escaped through the lanes, rode a motorcycle, struck early in the morning, were two or three persons, made no attempt to avoid identification and left no sign of tools. A relative of the complainant was the first to notice. A spot panchnama was drawn up in the presence of witnesses."
TG-KAR-01/0011/2024,Karimnagar,TG-KAR-01,MV Theft,2024-03-28T21:58:00,2024-03-29T05:02:00,2024-03-30T07:25:00,Accused stole a car; broke the handle lock; struck at night; took it from residential parking; made no attempt to avoid identification; left no sign of tools.,"Case registered at TG-KAR-01 on a complaint of vehicle theft committed between 2024-03-28T21:58:00 and 2024-03-29T05:02:00. It is stated that the accused stole a car, broke the handle lock, came on foot, struck at night, took it from residential parking, made no attempt to avoid identification and left no sign of tools. Nearby shops were closed at the time. Fingerprint experts visited the scene."
TG-HAN-04/0019/2024,Hanumakonda,TG-HAN-04,HB - Residential,2024-03-29T10:24:00,2024-03-29T22:22:00,2024-03-30T10:57:00,Accused took gold ornaments; took cash; were two or three persons; came in a four-wheeler; fled in a four-wheeler; entered without force; used a crowbar; targeted an apartment; climbed in via the balcony; struck during the day.,"Case registered at TG-HAN-04 on a complaint of house burglary committed between 2024-03-29T10:24:00 and 2024-03-29T22:22:00. It is stated that the accused took gold ornaments, took cash, were two or three persons, struck while the occupants were out, fled in a four-wheeler, entered without force, used a crowbar, ransacked the place, targeted an apartment, climbed in via the balcony and struck during the day. A spot panchnama was drawn up in the presence of witnesses. It had been raining heavily that evening."
TG-HAN-03/0013/2024,Hanumakonda,TG-HAN-03,MV Theft,2024-03-29T05:15:00,2024-03-29T07:06:00,2024-03-30T11:11:00,Accused took it from the roadside; used a gas cutter; started it by joining the wires; had their faces covered; took a vehicle; appear to have picked the target by chance; stole a motorcycle; struck early in the morning; came on foot; fled on a two-wheeler.,"The complainant reported vehicle theft that occurred between 2024-03-29T05:15:00 and 2024-03-29T07:06:00 in Hanumakonda. It is stated that the accused took it from the roadside, used a gas cutter, took a vehicle, appear to have picked the target by chance, stole a motorcycle, struck early in the morning, came on foot and fled on a two-wheeler. Nearby shops were closed at the time. The total value of the stolen property is estimated at Rs. 87,183."
TG-HYD-06/0017/2024,Hyderabad,TG-HYD-06,HB - Residential,2024-03-29,2024-03-30,2024-03-30T12:14:00,Accused got in through the door; took cash; came on foot; forced the door open; fled on foot; acted alone; struck while the occupants were out; targeted a row house; had their faces covered.,"Case registered at TG-HYD-06 on a complaint of house burglary committed between 2024-03-29 and 2024-03-30. It is stated that the accused got in through the door, took cash, came on foot, appear to have watched the place beforehand, used a crowbar, used a screwdriver, forced the door open, fled on foot, acted alone, struck while the occupants were out, targeted a row house and had their faces covered. Nearby shops were closed at the time."
TG-NIZ-07/0010/2024,Nizamabad,TG-NIZ-07,MV Theft,2024-03-28T22:24:00,2024-03-29T23:08:00,2024-03-30T18:32:00,Accused used a screwdriver; made no attempt to avoid identification; stole a car; were two or three persons; took documents; took a vehicle; appear to have picked the target by chance; took it from a public parking lot; came on foot; fled in a four-wheeler.,"Case registered at TG-NIZ-07 on a complaint of vehicle theft committed between 2024-03-28T22:24:00 and 2024-03-29T23:08:00. It is stated that the accused used a screwdriver, made no attempt to avoid identification, stole a car, were two or three persons, appear to have picked the target by chance, came on foot and fled in a four-wheeler. A relative of the complainant was the first to notice. Nearby shops were closed at the time."
TG-RAN-02/0011/2024,Rangareddy,TG-RAN-02,MV Theft,2024-03-25T12:13:00,2024-03-26T16:27:00,2024-03-30T20:30:00,Accused took a vehicle; came on a two-wheeler; were a group of four or more; took it from the roadside; made no attempt to avoid identification; started it with a duplicate key; stole a motorcycle.,"Case registered at TG-RAN-02 on a complaint of vehicle theft committed between 2024-03-25T12:13:00 and 2024-03-26T16:27:00. It is stated that the accused left no sign of tools, took a vehicle, were a group of four or more, took it from the roadside, made no attempt to avoid identification, started it with a duplicate key and stole a motorcycle. Neighbours stated they did not hear anything unusual. A spot panchnama was drawn up in the presence of witnesses."
TG-HAN-01/0008/2024,Hanumakonda,TG-HAN-01,MV Theft,2024-03-11T21:08:00,2024-03-12T06:39:00,2024-03-31T06:51:00,Accused found the key left in the vehicle; struck at night; used a screwdriver; came on a two-wheeler; took it from the roadside; fled in a four-wheeler; made no attempt to avoid identification.,"Complaint received at TG-HAN-01 (Hanumakonda) regarding vehicle theft between 2024-03-11T21:08:00 and 2024-03-12T06:39:00. It is stated that the accused found the key left in the vehicle, struck at night, used a screwdriver, took it from the roadside, acted alone, fled in a four-wheeler and made no attempt to avoid identification. Nearby shops were closed at the time. The complainant has submitted bills for some of the items."
TG-HYD-06/0018/2024,Hyderabad,TG-HYD-06,ATM Offence,2024-03-29,2024-03-31,2024-03-31T07:03:00,Accused came in a four-wheeler; forced the machine open; took cash; disabled the CCTV camera; disabled the alarm; used a gas cutter; targeted an offsite ATM kiosk; fled in a four-wheeler.,"Complaint received at TG-HYD-06 (Hyderabad) regarding ATM tampering between 2024-03-29 and 2024-03-31. It is stated that the accused forced the machine open, took cash, disabled the alarm, used a gas cutter and targeted an offsite ATM kiosk. The total value of the stolen property is estimated at Rs. 269,237. The complainant noticed the incident on returning and informed the police."
TG-KAR-02/0009/2024,Karimnagar,TG-KAR-02,HB - Residential,2024-03-27T02:23:00,2024-03-27T11:01:00,2024-03-31T22:48:00,Accused struck early in the morning; targeted a shop; made a hole in the wall; made no attempt to avoid identification; took only selected valuables; fled on a two-wheeler; entered without force; used a crowbar; came on a two-wheeler; were two or three persons; took cash.,"Case registered at TG-KAR-02 on a complaint of house burglary committed between 2024-03-27T02:23:00 and 2024-03-27T11:01:00. It is stated that the accused targeted a shop, made a hole in the wall, struck while the premises were closed for the night, made no attempt to avoid identification, took only selected valuables, fled on a two-wheeler, entered without force, came on a two-wheeler, were two or three persons and took cash. Enquiries with nearby residents are in progress. The complainant does not suspect anyone."
TG-HYD-02/0012/2024,Hyderabad,TG-HYD-02,MV Theft,2024-03-30T22:44:00,2024-03-31T03:47:00,2024-03-31T23:43:00,Accused started it by joining the wires; fled on a two-wheeler; stole a motorcycle; struck at night; made no attempt to avoid identification; were two or three persons.,"Case registered at TG-HYD-02 on a complaint of vehicle theft committed between 2024-03-30T22:44:00 and 2024-03-31T03:47:00. It is stated that the accused started it by joining the wires, stole a motorcycle, struck at night, took it from residential parking, made no attempt to avoid identification and were two or three persons. The complainant has submitted bills for some of the items. The dog squad was summoned to the spot."
TG-NIZ-04/0016/2024,Nizamabad,TG-NIZ-04,HB - Commercial,2024-03-28T22:48:00,2024-03-31T20:27:00,2024-04-01T00:54:00,Accused struck while the premises were closed for the night; used a crowbar; used a gas cutter; took only selected valuables; targeted a shop; made a hole in the wall; broke the lock; acted alone; appear to have had inside information; took cash; took electronic items; fled in a four-wheeler; made no attempt to avoid identification.,"Case registered at TG-NIZ-04 on a complaint of break-in at commercial premises committed between 2024-03-28T22:48:00 and 2024-03-31T20:27:00. It is stated that the accused struck while the premises were closed for the night, used a crowbar, used a gas cutter, took only selected valuables, targeted a shop, made a hole in the wall, broke the lock, acted alone, appear to have had inside information, took cash, took electronic items, fled in a four-wheeler and made no attempt to avoid identification. A spot panchnama was drawn up in the presence of witnesses. It had been raining heavily that evening."
TG-KAR-05/0017/2024,Karimnagar,TG-KAR-05,MV Theft,2024-03-30T20:36:00,2024-03-31T20:38:00,2024-04-01T01:52:00,Accused came on foot; were two or three persons; took it from a public parking lot; appear to have watched the place beforehand; lifted or towed it away; stole a motorcycle; made no attempt to avoid identification; used a crowbar; took a vehicle.,"Case registered at TG-KAR-05 on a complaint of vehicle theft committed between 2024-03-30T20:36:00 and 2024-03-31T20:38:00. It is stated that the accused came on foot, were two or three persons, appear to have watched the place beforehand, lifted or towed it away, stole a motorcycle, made no attempt to avoid identification, used a crowbar and took a vehicle. Street lights in the area were reported not working. A spot panchnama was drawn up in the presence of witnesses."
TG-HYD-04/0013/2024,Hyderabad,TG-HYD-04,MV Theft,2024-03-31T02:56:00,2024-03-31T17:39:00,2024-04-01T02:53:00,Accused took it from a market area; made no attempt to avoid identification; used a screwdriver; came on foot; took documents; took a vehicle; stole a motorcycle; were two or three persons.,"The complainant reported vehicle theft that occurred between 2024-03-31T02:56:00 and 2024-03-31T17:39:00 in Hyderabad. It is stated that the accused took it from a market area, made no attempt to avoid identification, used a screwdriver, came on foot, appear to have picked the target by chance, took documents, took a vehicle, stole a motorcycle and were two or three persons. A spot panchnama was drawn up in the presence of witnesses. Street lights in the area were reported not working."
TG-HAN-02/0012/2024,Hanumakonda,TG-HAN-02,MV Theft,2024-03-31,2024-04-01,2024-04-01T12:56:00,Accused broke the handle lock; made no attempt to avoid identification; acted alone; stole a motorcycle; came on a two-wheeler; took documents; took a vehicle; took it from a public parking lot.,"Case registered at TG-HAN-02 on a complaint of vehicle theft committed between 2024-03-31 and 2024-04-01. It is stated that the accused broke the handle lock, made no attempt to avoid identification, left no sign of tools, acted alone, came on a two-wheeler and took it from a public parking lot. The complainant has submitted bills for some of the items. The dog squad was summoned to the spot."
TG-KAR-05/0018/2024,Karimnagar,TG-KAR-05,HB - Residential,2024-04-01,2024-04-01,2024-04-01T14:38:00,Accused had their faces covered; made a hole in the wall; fled on a two-wheeler; appear to have had inside information; came on foot; struck while the occupants were out; forced the door open; used a cutter; used a screwdriver; were two or three persons; took only selected valuables; took gold ornaments; took cash; took electronic items.,"Case registered at TG-KAR-05 on a complaint of house burglary committed between 2024-04-01 and 2024-04-01. It is stated that the accused had their faces covered, made a hole in the wall, fled on a two-wheeler, appear to have had inside information, came on foot, struck while the occupants were out, struck at night, forced the door open, used a cutter, used a screwdriver, were two or three persons, took only selected valuables, took gold ornaments, took cash and took electronic items. The beat constable had passed the area about an hour earlier. Street lights in the area were reported not working."
TG-RAN-01/0017/2024,Rangareddy,TG-RAN-01,HB - Commercial,2024-03-31,2024-03-31,2024-04-01T17:29:00,Accused took gold ornaments; took cash; took electronic items; took a vehicle; appear to have picked the target by chance; got in through the door; fled on a two-wheeler; used a crowbar; used a gas cutter; struck while the occupants were out; targeted an independent house; made no attempt to avoid identification; entered without force; were two or three persons.,"Case registered at TG-RAN-01 on a complaint of break-in at commercial premises committed between 2024-03-31 and 2024-03-31. It is stated that the accused took gold ornaments, took cash, took electronic items, took a vehicle, appear to have picked the target by chance, got in through the door, fled on a two-wheeler, used a crowbar, used a gas cutter, struck while the occupants were out, targeted an independent house, made no attempt to avoid identification, entered without force, were two or three persons and struck at night. The complainant has submitted bills for some of the items. The complainant noticed the incident on returning and informed the police."
TG-HAN-01/0009/2024,Hanumakonda,TG-HAN-01,MV Theft,2024-03-30T23:08:00,2024-03-31T09:44:00,2024-04-02T12:12:00,Accused started it by joining the wires; struck early in the morning; fled on foot; wore gloves; used a cutter; stole a motorcycle; came on foot; took a vehicle; took it from a market area.,"The complainant reported vehicle theft that occurred between 2024-03-30T23:08:00 and 2024-03-31T09:44:00 in Hanumakonda. It is stated that the accused started it by joining the wires, struck early in the morning, fled on foot, acted alone, stole a motorcycle, came on foot, took a vehicle and took it from a market area. The total value of the stolen property is estimated at Rs. 382,099. Nearby shops were closed at the time."
TG-KAR-06/0016/2024,Karimnagar,TG-KAR-06,ATM Offence,2024-03-31T05:41:00,2024-03-31T10:02:00,2024-04-02T17:40:00,Accused cut the machine open with gas; appear to have watched the place beforehand; took cash; struck during the day; used a cutter; used a gas cutter; wore gloves; fled in a four-wheeler; left the alarm untouched; came in a four-wheeler; targeted an offsite ATM kiosk; were a group of four or more.,"The complainant reported ATM tampering that occurred between 2024-03-31T05:41:00 and 2024-03-31T10:02:00 in Karimnagar. It is stated that the accused cut the machine open with gas, appear to have watched the place beforehand, took cash, struck during the day, used a cutter, used a gas cutter, wore gloves, fled in a four-wheeler, left the alarm untouched, came in a four-wheeler and were a group of four or more. It had been raining heavily that evening. Enquiries with nearby residents are in progress."
TG-NIZ-05/0012/2024,Nizamabad,TG-NIZ-05,HB - Commercial,2024-04-01T21:30:00,2024-04-02T09:43:00,2024-04-03T00:05:00,Accused appear to have watched the place beforehand; were two or three persons; got in by lifting the shutter; made no attempt to avoid identification; targeted a shop-cum-residence; used a crowbar; used a cutter; came in a four-wheeler; fled in a four-wheeler; forced the door open.,"Case registered at TG-NIZ-05 on a complaint of break-in at commercial premises committed between 2024-04-01T21:30:00 and 2024-04-02T09:43:00. It is stated that the accused appear to have watched the place beforehand, were two or three persons, got in by lifting the shutter, made no attempt to avoid identification, targeted a shop-cum-residence, used a crowbar, used a cutter, came in a four-wheeler, fled in a four-wheeler, forced the door open and took only selected valuables. Fingerprint experts visited the scene. The total value of the stolen property is estimated at Rs. 58,987."
TG-RAN-07/0009/2024,Rangareddy,TG-RAN-07,HB - Residential,2024-03-31T06:20:00,2024-04-03T09:57:00,2024-04-03T18:34:00,Accused struck while the house was locked for days; fled in a four-wheeler; made no attempt to avoid identification; acted alone; targeted an independent house.,"Complaint received at TG-RAN-07 (Rangareddy) regarding house burglary between 2024-03-31T06:20:00 and 2024-04-03T09:57:00. It is stated that the accused used a crowbar, used a screwdriver, struck while the house was locked for days, came in a four-wheeler, fled in a four-wheeler, made no attempt to avoid identification, acted alone, targeted an independent house and appear to have watched the place beforehand. Enquiries with nearby residents are in progress. Nearby shops were closed at the time."
TG-HYD-06/0019/2024,Hyderabad,TG-HYD-06,Chain Snatching,2024-04-02T06:22:00,2024-04-02T06:23:00,2024-04-03T21:24:00,Accused fled on a two-wheeler; were two or three persons; targeted a victim on a morning walk; struck early in the morning; left no sign of tools; made no attempt to avoid identification; rode a motorcycle.,"Case registered at TG-HYD-06 on a complaint of chain snatching committed between 2024-04-02T06:22:00 and 2024-04-02T06:23:00. It is stated that the accused fled on a two-wheeler, targeted a victim on a morning walk, left no sign of tools, made no attempt to avoid identification, rode a motorcycle and escaped along the main road. The complainant does not suspect anyone. The complainant noticed the incident on returning and informed the police."
TG-KAR-03/0013/2024,Karimnagar,TG-KAR-03,HB - Residential,2024-04-03T00:58:00,2024-04-03T09:19:00,2024-04-04T00:23:00,Accused fled in a four-wheeler; were a group of four or more; targeted an independent house; came in a four-wheeler; appear to have picked the target by chance; took nothing; used a cutter; used a screwdriver; cut the grill; struck early in the morning; struck while the house was locked for days; got in through the door.,"Complaint received at TG-KAR-03 (Karimnagar) regarding house burglary between 2024-04-03T00:58:00 and 2024-04-03T09:19:00. It is stated that the accused fled in a four-wheeler, were a group of four or more, targeted an independent house, came in a four-wheeler, appear to have picked the target by chance, took nothing, used a cutter, used a screwdriver, cut the grill, struck early in the morning, made no attempt to avoid identification, struck while the house was locked for days and got in through the door. A relative of the complainant was the first to notice. The complainant noticed the incident on returning and informed the police."
TG-KAR-05/0019/2024,Karimnagar,TG-KAR-05,MV Theft,2024-04-03T12:49:00,2024-04-04T01:39:00,2024-04-04T16:21:00,Accused came on foot; stole a car; were a group of four or more; broke the handle lock; used a screwdriver; fled in a four-wheeler; took it from residential parking.,"Case registered at TG-KAR-05 on a complaint of vehicle theft committed between 2024-04-03T12:49:00 and 2024-04-04T01:39:00. It is stated that the accused came on foot, stole a car, were a group of four or more, broke the handle lock, used a screwdriver and fled in a four-wheeler. It had been raining heavily that evening. A spot panchnama was drawn up in the presence of witnesses."
TG-NIZ-01/0010/2024,Nizamabad,TG-NIZ-01,HB - Commercial,2024-04-02T16:25:00,2024-04-03T00:22:00,2024-04-04T23:21:00,Accused took cash; took electronic items; appear to have picked the target by chance; made no attempt to avoid identification; targeted an office; struck while the premises were closed for the night; came on a two-wheeler; struck during the day; used a crowbar; used a cutter; took only selected valuables.,"Case registered at TG-NIZ-01 on a complaint of break-in at commercial premises committed between 2024-04-02T16:25:00 and 2024-04-03T00:22:00. It is stated that the accused took cash, took electronic items, appear to have picked the target by chance, made no attempt to avoid identification, targeted an office, struck while the premises were closed for the night, came on a two-wheeler, struck during the day, used a crowbar, used a cutter, took only selected valuables and were a group of four or more. It had been raining heavily that evening. Street lights in the area were reported not working."
TG-RAN-01/0018/2024,Rangareddy,TG-RAN-01,HB - Residential,2024-03-26,2024-04-01,2024-04-04T23:40:00,Accused fled on foot; disabled the CCTV camera; left no sign of tools; came on foot; acted alone; forced the door open; appear to have watched the place beforehand; took only selected valuables.,"The complainant reported house burglary that occurred between 2024-03-26 and 2024-04-01 in Rangareddy. It is stated that the accused fled on foot, took gold ornaments, took cash, took electronic items, left no sign of tools, came on foot, acted alone, forced the door open, appear to have watched the place beforehand and took only selected valuables. A spot panchnama was drawn up in the presence of witnesses. The total value of the stolen property is estimated at Rs. 453,710."
TG-RAN-01/0019/2024,Rangareddy,TG-RAN-01,Chain Snatching,2024-04-04T03:40:00,2024-04-04T03:45:00,2024-04-05T02:53:00,Accused appear to have watched the place beforehand; acted alone; rode a scooter; left no sign of tools; struck at night; fled on a two-wheeler; took gold ornaments; took electronic items; came on a two-wheeler; targeted a victim who was walking.,"Complaint received at TG-RAN-01 (Rangareddy) regarding chain snatching between 2024-04-04T03:40:00 and 2024-04-04T03:45:00. It is stated that the accused appear to have watched the place beforehand, acted alone, rode a scooter, left no sign of tools, struck at night, fled on a two-wheeler, took gold ornaments, took electronic items, came on a two-wheeler and targeted a victim who was walking. Neighbours stated they did not hear anything unusual. The complainant does not suspect anyone."
TG-KAR-04/0012/2024,Karimnagar,TG-KAR-04,MV Theft,2024-04-05T01:16:00,2024-04-05T06:12:00,2024-04-05T08:19:00,Accused took a vehicle; struck at night; took it from a market area; left no sign of tools; disabled the CCTV camera; were two or three persons.,"The complainant reported vehicle theft that occurred between 2024-04-05T01:16:00 and 2024-04-05T06:12:00 in Karimnagar. It is stated that the accused struck at night, left no sign of tools, disabled the CCTV camera, found the key left in the vehicle, fled on a two-wheeler, were two or three persons and came on foot. Neighbours stated they did not hear anything unusual. The dog squad was summoned to the spot."
TG-KAR-05/0020/2024,Karimnagar,TG-KAR-05,MV Theft,2024-04-03T22:58:00,2024-04-04T16:53:00,2024-04-05T13:40:00,Accused left no sign of tools; fled on a two-wheeler; came on a two-wheeler; made no attempt to avoid identification; took it from the roadside; took a vehicle; acted alone; appear to have picked the target by chance; started it by joining the wires.,"Case registered at TG-KAR-05 on a complaint of vehicle theft committed between 2024-04-03T22:58:00 and 2024-04-04T16:53:00. It is stated that the accused fled on a two-wheeler, came on a two-wheeler, made no attempt to avoid identification, took it from the roadside, took a vehicle, acted alone, appear to have picked the target by chance and started it by joining the wires. A relative of the complainant was the first to notice. Nearby shops were closed at the time."
TG-HAN-07/0009/2024,Hanumakonda,TG-HAN-07,MV Theft,2024-04-04,2024-04-05,2024-04-05T19:41:00,Accused came on a two-wheeler; broke the handle lock; used a screwdriver; made no attempt to avoid identification; took it from the roadside; stole a car; were two or three persons; fled in a four-wheeler.,"Complaint received at TG-HAN-07 (Hanumakonda) regarding vehicle theft between 2024-04-04 and 2024-04-05. It is stated that the accused broke the handle lock, used a screwdriver, made no attempt to avoid identification, took it from the roadside, stole a car, were two or three persons and fled in a four-wheeler. The beat constable had passed the area about an hour earlier. The complainant has submitted bills for some of the items."
TG-HAN-05/0013/2024,Hanumakonda,TG-HAN-05,MV Theft,2024-04-05T18:55:00,2024-04-05T21:20:00,2024-04-06T02:46:00,Accused had their faces covered; were two or three persons; fled on a two-wheeler; left no sign of tools; struck during the day; stole a motorcycle; appear to have watched the place beforehand; took it from a public parking lot; broke the handle lock; took a vehicle.,"Complaint received at TG-HAN-05 (Hanumakonda) regarding vehicle theft between 2024-04-05T18:55:00 and 2024-04-05T21:20:00. It is stated that the accused came on foot, had their faces covered, were two or three persons, fled on a two-wheeler, left no sign of tools, struck during the day, stole a motorcycle, appear to have watched the place beforehand and broke the handle lock. A spot panchnama was drawn up in the presence of witnesses. The complainant does not suspect anyone."
TG-RAN-06/0015/2024,Rangareddy,TG-RAN-06,HB - Residential,2024-04-04T21:50:00,2024-04-04T23:09:00,2024-04-06T03:20:00,Accused struck at night; took gold ornaments; struck while the occupants were inside; fled on foot; took only selected valuables; entered without force; were two or three persons; used a screwdriver.,"The complainant reported house burglary that occurred between 2024-04-04T21:50:00 and 2024-04-04T23:09:00 in Rangareddy. It is stated that the accused struck at night, took gold ornaments, struck while the occupants were inside, fled on foot, took only selected valuables, entered without force, were two or three persons and used a screwdriver. The complainant noticed the incident on returning and informed the police. Neighbours stated they did not hear anything unusual."
TG-HAN-04/0020/2024,Hanumakonda,TG-HAN-04,HB - Residential,2024-04-06T02:12:00,2024-04-06T03:36:00,2024-04-06T06:04:00,Accused took gold ornaments; took cash; took electronic items; made no attempt to avoid identification; appear to have picked the target by chance; acted alone; went straight to where the valuables were kept; struck at night; broke the lock; targeted a shop-cum-residence; came on a two-wheeler; struck while the occupants were inside.,"The complainant reported house burglary that occurred between 2024-04-06T02:12:00 and 2024-04-06T03:36:00 in Hanumakonda. It is stated that the accused fled on a two-wheeler, made no attempt to avoid identification, left no sign of tools, appear to have picked the target by chance, acted alone, went straight to where the valuables were kept, struck at night, broke the lock, targeted a shop-cum-residence, came on a two-wheeler and struck while the occupants were inside. The total value of the stolen property is estimated at Rs. 160,062. Fingerprint experts visited the scene."
TG-KAR-04/0013/2024,Karimnagar,TG-KAR-04,HB - Residential,2024-03-24T07:12:00,2024-04-05T07:36:00,2024-04-06T10:01:00,Accused made no attempt to avoid identification; used a cutter; used a screwdriver; appear to have picked the target by chance; came on foot; fled on a two-wheeler; were two or three persons; got in through the door; broke the lock; struck while the house was locked for days; took gold ornaments; took electronic items; ransacked the place; targeted an independent house.,"Complaint received at TG-KAR-04 (Karimnagar) regarding house burglary between 2024-03-24T07:12:00 and 2024-04-05T07:36:00. It is stated that the accused made no attempt to avoid identification, used a cutter, used a screwdriver, appear to have picked the target by chance, came on foot, fled on a two-wheeler, were two or three persons, broke the lock, struck while the house was locked for days, took gold ornaments, took electronic items, ransacked the place and targeted an independent house. It had been raining heavily that evening. The complainant noticed the incident on returning and informed the police."
TG-RAN-05/0014/2024,Rangareddy,TG-RAN-05,MV Theft,2024-04-06T01:54:00,2024-04-06T11:40:00,2024-04-06T18:58:00,Accused fled on a two-wheeler; made no attempt to avoid identification; came on a two-wheeler; stole a scooter; took a vehicle; broke the handle lock; left no sign of tools; struck early in the morning; acted alone.,"The complainant reported vehicle theft that occurred between 2024-04-06T01:54:00 and 2024-04-06T11:40:00 in Rangareddy. It is stated that the accused fled on a two-wheeler, made no attempt to avoid identification, came on a two-wheeler, stole a scooter, took a vehicle, broke the handle lock, left no sign of tools, took it from the roadside, struck early in the morning and acted alone. It had been raining heavily that evening. The complainant noticed the incident on returning and informed the police."
TG-HAN-07/0010/2024,Hanumakonda,TG-HAN-07,MV Theft,2024-04-04T02:20:00,2024-04-06T14:57:00,2024-04-06T22:00:00,Accused took it from the roadside; came in a four-wheeler; stole a scooter; took a vehicle; started it with a duplicate key; left no sign of tools; disabled the CCTV camera; fled on a two-wheeler.,"Complaint received at TG-HAN-07 (Hanumakonda) regarding vehicle theft between 2024-04-04T02:20:00 and 2024-04-06T14:57:00. It is stated that the accused took it from the roadside, came in a four-wheeler, took a vehicle, started it with a duplicate key and left no sign of tools. It had been raining heavily that evening. Neighbours stated they did not hear anything unusual."
