FIR_NO,DISTRICT,POLICE_STATION,CRIME_HEAD,OCCURRENCE_FROM,OCCURRENCE_TO,REGISTRATION_DATE,NO_OF_ACCUSED,WEAPONS_TOOLS,CONCEALMENT,TARGET_TYPE,PROPERTY_STOLEN,MODE_OF_ARRIVAL,MODE_OF_ESCAPE,PLACE_OF_ENTRY,MODE_OF_ENTRY,PREMISES_TYPE,PREMISES_STATUS,SEARCH_TYPE,VEHICLE_TYPE,VEHICLE_START_METHOD,PARKING_PLACE,OFFENDER_VEHICLE,VICTIM_ACTIVITY,ESCAPE_ROUTE,ATM_SITE_TYPE,ATM_ATTACK,ALARM_STATUS,FIR_CONTENTS
MH-NAG-04/0044/2023,Nagpur,MH-NAG-04,ATM TAMPERING,29/05/2023,29/05/2023,31/05/2023 00:45,2 TO 3,NIL,NIL,RECCE DONE,CASH,FOUR WHEELER,FOUR WHEELER,,,,,,,,,,,,OFFSITE ATM,CASH TRAP,ALARM INTACT,"On receipt of information, it was learnt that a ATM tampering occurred in Nagpur between 29/05/2023 and 29/05/2023. It is stated that the accused took cash, were two or three persons, targeted an offsite ATM kiosk, came in a four-wheeler, left no sign of tools, made no attempt to avoid identification, fitted a cash trap, appear to have watched the place beforehand, fled in a four-wheeler and left the alarm untouched. Enquiries with nearby residents are in progress. The complainant has submitted bills for some of the items."
MH-THA-03/0047/2023,Thane,MH-THA-03,CHAIN SNATCHING,30/05/2023 21:17,30/05/2023 21:27,31/05/2023 02:38,2 TO 3,NIL,FACE MASKED,CHANCE,GOLD ORNAMENTS,ON FOOT,ON FOOT,,,,,,,,,NIL,SHOPPING,BY LANES,,,,"As per the complaint, unknown persons committed chain snatching in Thane (MH-THA-03) sometime between 30/05/2023 21:17 and 30/05/2023 21:27. It is stated that the accused came on foot, struck during the day, had their faces covered, appear to have picked the target by chance, fled on foot, escaped through the lanes, left no sign of tools, used no vehicle and were two or three persons. Enquiries with nearby residents are in progress. The dog squad was summoned to the spot."
MH-THA-08/0032/2023,Thane,MH-THA-08,MOTOR VEHICLE THEFT,30/05/2023 00:16,30/05/2023 00:59,31/05/2023 04:55,4 AND ABOVE,GAS CUTTER,,CHANCE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,SCOOTER,DUPLICATE KEY,MARKET AREA,,,,,,,"Complainant reports that a vehicle theft took place within MH-THA-08 police station limits, Thane, between 30/05/2023 00:16 and 30/05/2023 00:59. It is stated that the accused took it from a market area, fled on a two-wheeler, came on a two-wheeler, struck at night, appear to have picked the target by chance, were a group of four or more, started it with a duplicate key and used a gas cutter. A relative of the complainant was the first to notice. The dog squad was summoned to the spot."
MH-NAG-06/0026/2023,Nagpur,MH-NAG-06,MOTOR VEHICLE THEFT,17/05/2023 22:07,18/05/2023 18:07,31/05/2023 06:00,2 TO 3,NIL,FACE MASKED,,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DUPLICATE KEY,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nagpur between 17/05/2023 22:07 and 18/05/2023 18:07. It is stated that the accused came on a two-wheeler, stole a motorcycle, were two or three persons, fled on a two-wheeler, took a vehicle, took it from the roadside, started it with a duplicate key and left no sign of tools. Fingerprint experts visited the scene. Nearby shops were closed at the time."
MH-PUN-05/0028/2023,Pune,MH-PUN-05,MOTOR VEHICLE THEFT,30/05/2023 14:59,30/05/2023 17:47,31/05/2023 12:14,2 TO 3,CROWBAR,,RECCE DONE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,SCOOTER,DIRECT CONNECTION,PAY AND PARK,,,,,,,"Complainant reports that a vehicle theft took place within MH-PUN-05 police station limits, Pune, between 30/05/2023 14:59 and 30/05/2023 17:47. It is stated that the accused appear to have watched the place beforehand, started it by joining the wires, stole a scooter, took a vehicle, were two or three persons, fled on a two-wheeler, took it from a public parking lot, used a crowbar, struck during the day and came on foot. Street lights in the area were reported not working. A spot panchnama was drawn up in the presence of witnesses."
MH-NAG-02/0037/2023,Nagpur,MH-NAG-02,CHAIN SNATCHING,31/05/2023 04:07,31/05/2023 04:17,31/05/2023 13:10,ONE,NIL,FACE MASKED,CHANCE,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,SCOOTER,WALKING,MAIN ROAD,,,,"Complainant reports that a chain snatching took place within MH-NAG-02 police station limits, Nagpur, between 31/05/2023 04:07 and 31/05/2023 04:17. It is stated that the accused came on a two-wheeler, took gold ornaments, rode a scooter, left no sign of tools, fled on a two-wheeler, appear to have picked the target by chance, struck early in the morning, escaped along the main road, targeted a victim who was walking and had their faces covered. Nearby shops were closed at the time. The complainant noticed the incident on returning and informed the police."
MH-PUN-06/0044/2023,Pune,MH-PUN-06,ATM TAMPERING,30/05/2023 02:23,31/05/2023 04:14,31/05/2023 13:24,,SCREW DRIVER,FACE MASKED,RECCE DONE,,FOUR WHEELER,FOUR WHEELER,,,,,,,,,,,,BRANCH ATM,SKIMMER FITTED,ALARM INTACT,"As per the complaint, unknown persons committed ATM tampering in Pune (MH-PUN-06) sometime between 30/05/2023 02:23 and 31/05/2023 04:14. It is stated that the accused took cash, took electronic items, had their faces covered, fled in a four-wheeler, appear to have watched the place beforehand, used a screwdriver, targeted an ATM at a bank branch, left the alarm untouched and came in a four-wheeler. A relative of the complainant was the first to notice. Fingerprint experts visited the scene."
MH-NAS-08/0035/2023,Nashik,MH-NAS-08,HOUSE BREAKING,31/05/2023 05:05,31/05/2023 08:09,31/05/2023 19:41,2 TO 3,CROWBAR,NIL,CHANCE,GOLD ORNAMENTS;ELECTRONIC ITEMS;DOCUMENTS,ON FOOT,FOUR WHEELER,MAIN DOOR,DUPLICATE KEY,FLAT,LOCKED - OWNER OUT,,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Nashik (MH-NAS-08) sometime between 31/05/2023 05:05 and 31/05/2023 08:09. It is stated that the accused struck while the occupants were out, used a crowbar, were two or three persons, struck early in the morning, targeted an apartment, opened it with a duplicate key, appear to have picked the target by chance, fled in a four-wheeler, made no attempt to avoid identification, took gold ornaments, took electronic items, took documents and took only selected valuables. The beat constable had passed the area about an hour earlier. The total value of the stolen property is estimated at Rs. 305,632."
MH-KOL-03/0033/2023,Kolhapur,MH-KOL-03,HOUSE BREAKING,31/05/2023 05:18,31/05/2023 14:47,31/05/2023 21:49,ONE,NIL,FACE MASKED,INSIDE INFORMATION,NIL,TWO WHEELER,TWO WHEELER,MAIN DOOR,,BUNGALOW,,RANSACKED,,,,,,,,,,"Complainant reports that a house burglary took place within MH-KOL-03 police station limits, Kolhapur, between 31/05/2023 05:18 and 31/05/2023 14:47. It is stated that the accused had their faces covered, targeted an independent house, came on a two-wheeler, appear to have had inside information, got in through the door, fled on a two-wheeler, left no sign of tools and took nothing. The complainant does not suspect anyone. Enquiries with nearby residents are in progress."
MH-NAG-04/0045/2023,Nagpur,MH-NAG-04,MOTOR VEHICLE THEFT,29/05/2023 21:33,30/05/2023 07:19,01/06/2023 02:41,ONE,NIL,NIL,CHANCE,VEHICLE,FOUR WHEELER,FOUR WHEELER,,,,,,CAR,DIRECT CONNECTION,ROADSIDE,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Nagpur (MH-NAG-04) sometime between 29/05/2023 21:33 and 30/05/2023 07:19. It is stated that the accused struck at night, took it from the roadside, started it by joining the wires, left no sign of tools, appear to have picked the target by chance, stole a car and fled in a four-wheeler. Enquiries with nearby residents are in progress. A relative of the complainant was the first to notice."
MH-KOL-04/0029/2023,Kolhapur,MH-KOL-04,ATM TAMPERING,31/05/2023,31/05/2023,01/06/2023 09:31,ONE,GAS CUTTER,FACE MASKED,RECCE DONE,CASH,FOUR WHEELER,FOUR WHEELER,,,,,,,,,,,,OFFSITE ATM,FORCIBLY OPENED,ALARM INTACT,"As per the complaint, unknown persons committed ATM tampering in Kolhapur (MH-KOL-04) sometime between 31/05/2023 and 31/05/2023. It is stated that the accused targeted an offsite ATM kiosk, acted alone, left the alarm untouched, had their faces covered, used a gas cutter, took cash and forced the machine open. Fingerprint experts visited the scene. A spot panchnama was drawn up in the presence of witnesses."
MH-NAG-06/0027/2023,Nagpur,MH-NAG-06,SHOP BREAKING,30/05/2023 07:04,30/05/2023 21:49,01/06/2023 10:24,4 AND ABOVE,CROWBAR;CUTTER,NIL,INSIDE INFORMATION,GOLD ORNAMENTS;CASH;ELECTRONIC ITEMS,ON FOOT,,WALL HOLE,LOCK BROKEN,SHOP,CLOSED FOR NIGHT,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed break-in at commercial premises in Nagpur (MH-NAG-06) sometime between 30/05/2023 07:04 and 30/05/2023 21:49. It is stated that the accused took gold ornaments, took cash, took electronic items, ransacked the place, targeted a shop, broke the lock, were a group of four or more, came on foot, made a hole in the wall, appear to have had inside information, struck while the premises were closed for the night and made no attempt to avoid identification. It had been raining heavily that evening. The complainant has submitted bills for some of the items."
MH-NAS-03/0039/2023,Nashik,MH-NAS-03,MOTOR VEHICLE THEFT,29/05/2023,30/05/2023,01/06/2023 11:05,2 TO 3,CROWBAR;CUTTER,,CHANCE,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,CAR,HANDLE LOCK BROKEN,ROADSIDE,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAS-03 police station limits, Nashik, between 29/05/2023 and 30/05/2023. It is stated that the accused used a crowbar, used a cutter, stole a car, came on foot, made no attempt to avoid identification, were two or three persons, appear to have picked the target by chance and took a vehicle. The complainant does not suspect anyone. The dog squad was summoned to the spot."
MH-THA-01/0030/2023,Thane,MH-THA-01,MOTOR VEHICLE THEFT,28/05/2023 12:02,29/05/2023 22:23,01/06/2023 11:19,ONE,NIL,,,DOCUMENTS;VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DIRECT CONNECTION,MARKET AREA,,,,,,,"Complainant reports that a vehicle theft took place within MH-THA-01 police station limits, Thane, between 28/05/2023 12:02 and 29/05/2023 22:23. It is stated that the accused took documents, took a vehicle, started it by joining the wires, left no sign of tools, came on a two-wheeler, stole a motorcycle, fled on a two-wheeler and acted alone. Nearby shops were closed at the time."
MH-THA-04/0029/2023,Thane,MH-THA-04,CHAIN SNATCHING,31/05/2023 14:18,31/05/2023 14:24,01/06/2023 12:52,2 TO 3,NIL,NIL,CHANCE,GOLD ORNAMENTS,TWO WHEELER,ON FOOT,,,,,,,,,MOTOR CYCLE,SHOPPING,HIGHWAY,,,,"Complainant reports that a chain snatching took place within MH-THA-04 police station limits, Thane, between 31/05/2023 14:18 and 31/05/2023 14:24. It is stated that the accused were two or three persons, appear to have picked the target by chance, escaped towards the highway, rode a motorcycle, left no sign of tools, struck during the day and took gold ornaments. A relative of the complainant was the first to notice. The complainant does not suspect anyone."
MH-KOL-02/0043/2023,Kolhapur,MH-KOL-02,MOTOR VEHICLE THEFT,31/05/2023 19:33,01/06/2023 09:39,01/06/2023 13:47,ONE,,NIL,,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,HANDLE LOCK BROKEN,,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Kolhapur between 31/05/2023 19:33 and 01/06/2023 09:39. It is stated that the accused broke the handle lock, acted alone, took a vehicle, fled on a two-wheeler and made no attempt to avoid identification. Enquiries with nearby residents are in progress. Nearby shops were closed at the time."
MH-THA-02/0045/2023,Thane,MH-THA-02,HOUSE BREAKING,29/05/2023 06:48,29/05/2023 14:05,01/06/2023 17:44,ONE,NIL,HAND GLOVES,RECCE DONE,GOLD ORNAMENTS;ELECTRONIC ITEMS;DOCUMENTS,TWO WHEELER,TWO WHEELER,MAIN DOOR,NO FORCE,,LOCKED - OWNER OUT,,,,,,,,,,,"Complainant reports that a house burglary took place within MH-THA-02 police station limits, Thane, between 29/05/2023 06:48 and 29/05/2023 14:05. It is stated that the accused struck while the occupants were out, fled on a two-wheeler, appear to have watched the place beforehand, took gold ornaments, took electronic items, took documents, entered without force, struck during the day, acted alone, wore gloves and left no sign of tools. The beat constable had passed the area about an hour earlier. The total value of the stolen property is estimated at Rs. 166,062."
MH-NAG-08/0030/2023,Nagpur,MH-NAG-08,HOUSE BREAKING,01/06/2023 02:49,01/06/2023 08:00,02/06/2023 03:06,,CUTTER;SCREW DRIVER,NIL,,CASH;ELECTRONIC ITEMS,TWO WHEELER,TWO WHEELER,BALCONY,LOCK BROKEN,FLAT,LOCKED - OWNER OUT,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Nagpur (MH-NAG-08) sometime between 01/06/2023 02:49 and 01/06/2023 08:00. It is stated that the accused took cash, took electronic items, targeted an apartment, climbed in via the balcony, broke the lock, fled on a two-wheeler, struck early in the morning, came on a two-wheeler, used a cutter, used a screwdriver, struck while the occupants were out and made no attempt to avoid identification. The dog squad was summoned to the spot. The beat constable had passed the area about an hour earlier."
MH-KOL-03/0034/2023,Kolhapur,MH-KOL-03,MOTOR VEHICLE THEFT,01/06/2023 15:44,02/06/2023 01:17,02/06/2023 05:40,2 TO 3,NIL,NIL,CHANCE,,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,HANDLE LOCK BROKEN,PAY AND PARK,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Kolhapur between 01/06/2023 15:44 and 02/06/2023 01:17. It is stated that the accused appear to have picked the target by chance, stole a motorcycle, broke the handle lock, made no attempt to avoid identification, took it from a public parking lot, came on foot, fled on a two-wheeler and were two or three persons. Fingerprint experts visited the scene. Neighbours stated they did not hear anything unusual."
MH-NAG-02/0038/2023,Nagpur,MH-NAG-02,MOTOR VEHICLE THEFT,01/06/2023 08:00,02/06/2023 01:39,02/06/2023 06:29,2 TO 3,SCREW DRIVER,,,,TWO WHEELER,FOUR WHEELER,,,,,,CAR,HANDLE LOCK BROKEN,SOCIETY PARKING,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAG-02 police station limits, Nagpur, between 01/06/2023 08:00 and 02/06/2023 01:39. It is stated that the accused took it from residential parking, were two or three persons, fled in a four-wheeler and used a screwdriver. The total value of the stolen property is estimated at Rs. 144,176. The beat constable had passed the area about an hour earlier."
MH-KOL-01/0041/2023,Kolhapur,MH-KOL-01,HOUSE BREAKING,31/05/2023 12:32,31/05/2023 14:31,02/06/2023 10:27,ONE,CUTTER,NIL,CHANCE,GOLD ORNAMENTS,ON FOOT,ON FOOT,MAIN DOOR,DOOR FORCED,BUNGALOW,OCCUPIED,RANSACKED,,,,,,,,,,"Complainant reports that a house burglary took place within MH-KOL-01 police station limits, Kolhapur, between 31/05/2023 12:32 and 31/05/2023 14:31. It is stated that the accused appear to have picked the target by chance, made no attempt to avoid identification, struck during the day, took gold ornaments, got in through the door, struck while the occupants were inside, used a cutter and fled on foot. A relative of the complainant was the first to notice. The complainant has submitted bills for some of the items."
MH-KOL-02/0044/2023,Kolhapur,MH-KOL-02,CHAIN SNATCHING,02/06/2023 07:06,02/06/2023 07:17,02/06/2023 15:21,ONE,NIL,FACE MASKED,,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,WALKING,HIGHWAY,,,,"On receipt of information, it was learnt that a chain snatching occurred in Kolhapur between 02/06/2023 07:06 and 02/06/2023 07:17. It is stated that the accused came on a two-wheeler, fled on a two-wheeler, left no sign of tools, targeted a victim who was walking, rode a motorcycle, took gold ornaments, had their faces covered, struck during the day, escaped towards the highway and acted alone. It had been raining heavily that evening. The total value of the stolen property is estimated at Rs. 60,425."
MH-NAS-06/0035/2023,Nashik,MH-NAS-06,SHOP BREAKING,01/06/2023 08:13,01/06/2023 22:32,02/06/2023 17:38,ONE,GAS CUTTER,HAND GLOVES,RECCE DONE,CASH;VEHICLE,,TWO WHEELER,SHUTTER,LOCK BROKEN,SHOP,CLOSED FOR NIGHT,,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-NAS-06 police station limits, Nashik, between 01/06/2023 08:13 and 01/06/2023 22:32. It is stated that the accused acted alone, broke the lock, struck while the premises were closed for the night, appear to have watched the place beforehand, targeted a shop, fled on a two-wheeler, used a gas cutter, took cash and took a vehicle. The complainant has submitted bills for some of the items. A spot panchnama was drawn up in the presence of witnesses."
MH-NAG-04/0046/2023,Nagpur,MH-NAG-04,CHAIN SNATCHING,02/06/2023 13:43,02/06/2023 13:51,02/06/2023 18:56,,NIL,,CHANCE,GOLD ORNAMENTS;ELECTRONIC ITEMS,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,WALKING,BY LANES,,,,"On receipt of information, it was learnt that a chain snatching occurred in Nagpur between 02/06/2023 13:43 and 02/06/2023 13:51. It is stated that the accused targeted a victim who was walking, took gold ornaments, took electronic items, left no sign of tools, escaped through the lanes, came on a two-wheeler, struck during the day, appear to have picked the target by chance, rode a motorcycle and wore gloves. The complainant noticed the incident on returning and informed the police. Nearby shops were closed at the time."
MH-THA-07/0041/2023,Thane,MH-THA-07,HOUSE BREAKING,01/06/2023 23:02,01/06/2023 23:56,02/06/2023 21:48,ONE,SCREW DRIVER,,RECCE DONE,,ON FOOT,ON FOOT,MAIN DOOR,DUPLICATE KEY,ROW HOUSE,OCCUPIED,DIRECT TO VALUABLES,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Thane (MH-THA-07) sometime between 01/06/2023 23:02 and 01/06/2023 23:56. It is stated that the accused went straight to where the valuables were kept, came on foot, fled on foot, acted alone, struck at night, used a screwdriver and appear to have watched the place beforehand. The total value of the stolen property is estimated at Rs. 422,090. A relative of the complainant was the first to notice."
MH-PUN-01/0032/2023,Pune,MH-PUN-01,CHAIN SNATCHING,02/06/2023 11:00,02/06/2023 11:04,03/06/2023 02:51,,NIL,NIL,CHANCE,GOLD ORNAMENTS,TWO WHEELER,,,,,,,,,,SCOOTER,WAITING AT BUS STOP,,,,,"Complainant reports that a chain snatching took place within MH-PUN-01 police station limits, Pune, between 02/06/2023 11:00 and 02/06/2023 11:04. It is stated that the accused targeted a victim waiting for transport, struck during the day, rode a scooter, took gold ornaments, made no attempt to avoid identification and came on a two-wheeler. Nearby shops were closed at the time. The total value of the stolen property is estimated at Rs. 305,556."
MH-KOL-08/0030/2023,Kolhapur,MH-KOL-08,CHAIN SNATCHING,31/05/2023 06:56,31/05/2023 07:00,03/06/2023 03:58,ONE,NIL,FACE MASKED,,GOLD ORNAMENTS;ELECTRONIC ITEMS,ON FOOT,ON FOOT,,,,,,,,,NIL,WALKING,MAIN ROAD,,,,"Complainant reports that a chain snatching took place within MH-KOL-08 police station limits, Kolhapur, between 31/05/2023 06:56 and 31/05/2023 07:00. It is stated that the accused came on foot, took gold ornaments, took electronic items, fled on foot, acted alone, left no sign of tools, escaped along the main road and targeted a victim who was walking. The dog squad was summoned to the spot. Fingerprint experts visited the scene."
MH-PUN-01/0033/2023,Pune,MH-PUN-01,CHAIN SNATCHING,02/06/2023 16:59,02/06/2023 17:03,03/06/2023 05:41,2 TO 3,NIL,NIL,RECCE DONE,,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,WAITING AT BUS STOP,MAIN ROAD,,,,"Complainant reports that a chain snatching took place within MH-PUN-01 police station limits, Pune, between 02/06/2023 16:59 and 02/06/2023 17:03. It is stated that the accused rode a motorcycle, appear to have watched the place beforehand, came on a two-wheeler, escaped along the main road, left no sign of tools, made no attempt to avoid identification, were two or three persons and struck during the day. The total value of the stolen property is estimated at Rs. 462,985. Enquiries with nearby residents are in progress."
MH-PUN-08/0029/2023,Pune,MH-PUN-08,HOUSE BREAKING,27/05/2023 02:03,27/05/2023 03:48,03/06/2023 08:39,ONE,NIL,NIL,RECCE DONE,,ON FOOT,ON FOOT,MAIN DOOR,DOOR FORCED,BUNGALOW,OCCUPIED,SELECTIVE,,,,,,,,,,"Complainant reports that a house burglary took place within MH-PUN-08 police station limits, Pune, between 27/05/2023 02:03 and 27/05/2023 03:48. It is stated that the accused made no attempt to avoid identification, took only selected valuables, fled on foot, appear to have watched the place beforehand, struck while the occupants were inside, came on foot, targeted an independent house and acted alone. Nearby shops were closed at the time. The complainant noticed the incident on returning and informed the police."
MH-THA-01/0031/2023,Thane,MH-THA-01,HOUSE BREAKING,01/06/2023 23:30,02/06/2023 11:42,03/06/2023 14:15,4 AND ABOVE,CROWBAR,NIL,RECCE DONE,GOLD ORNAMENTS;CASH;VEHICLE,TWO WHEELER,TWO WHEELER,WINDOW,LOCK BROKEN,FLAT,LOCKED - OWNER OUT,SELECTIVE,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Thane between 01/06/2023 23:30 and 02/06/2023 11:42. It is stated that the accused were a group of four or more, broke the lock, appear to have watched the place beforehand, took only selected valuables, used a crowbar, fled on a two-wheeler, struck while the occupants were out, targeted an apartment, took gold ornaments, took cash and took a vehicle. Street lights in the area were reported not working. Enquiries with nearby residents are in progress."
MH-NAG-01/0032/2023,Nagpur,MH-NAG-01,MOTOR VEHICLE THEFT,02/06/2023 20:27,03/06/2023 02:59,03/06/2023 15:04,ONE,CROWBAR,NIL,CHANCE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,SCOOTER,TOWED AWAY,PAY AND PARK,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAG-01 police station limits, Nagpur, between 02/06/2023 20:27 and 03/06/2023 02:59. It is stated that the accused made no attempt to avoid identification, used a crowbar, appear to have picked the target by chance, acted alone, stole a scooter, took a vehicle, came on a two-wheeler, lifted or towed it away and took it from a public parking lot. The beat constable had passed the area about an hour earlier."
MH-KOL-05/0040/2023,Kolhapur,MH-KOL-05,HOUSE BREAKING,01/06/2023 19:34,01/06/2023 22:21,03/06/2023 17:36,ONE,SCREW DRIVER,,CHANCE,GOLD ORNAMENTS,TWO WHEELER,ON FOOT,WINDOW,DOOR FORCED,BUNGALOW,LOCKED - OWNER OUT,DIRECT TO VALUABLES,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Kolhapur (MH-KOL-05) sometime between 01/06/2023 19:34 and 01/06/2023 22:21. It is stated that the accused struck during the day, acted alone, took gold ornaments, used a screwdriver, came on a two-wheeler, appear to have picked the target by chance, got in through a window, went straight to where the valuables were kept, targeted an independent house and fled on foot. The complainant does not suspect anyone. Fingerprint experts visited the scene."
MH-NAS-08/0036/2023,Nashik,MH-NAS-08,MOTOR VEHICLE THEFT,02/06/2023 23:20,03/06/2023 14:13,03/06/2023 22:54,2 TO 3,NIL,,CHANCE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,SCOOTER,HANDLE LOCK BROKEN,,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 02/06/2023 23:20 and 03/06/2023 14:13. It is stated that the accused broke the handle lock, fled on a two-wheeler and appear to have picked the target by chance. The beat constable had passed the area about an hour earlier."
MH-PUN-04/0033/2023,Pune,MH-PUN-04,CHAIN SNATCHING,02/06/2023,02/06/2023,04/06/2023 01:49,ONE,NIL,NIL,CHANCE,,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,WALKING,MAIN ROAD,,,,"As per the complaint, unknown persons committed chain snatching in Pune (MH-PUN-04) sometime between 02/06/2023 and 02/06/2023. It is stated that the accused made no attempt to avoid identification, fled on a two-wheeler, took gold ornaments, took cash, took electronic items, escaped along the main road, left no sign of tools, came on a two-wheeler, targeted a victim who was walking, acted alone, rode a motorcycle and appear to have picked the target by chance. Fingerprint experts visited the scene. The beat constable had passed the area about an hour earlier."
MH-KOL-04/0030/2023,Kolhapur,MH-KOL-04,CHAIN SNATCHING,03/06/2023 20:49,03/06/2023 20:59,04/06/2023 04:57,,NIL,NIL,,GOLD ORNAMENTS,,ON FOOT,,,,,,,,,NIL,,BY LANES,,,,"On receipt of information, it was learnt that a chain snatching occurred in Kolhapur between 03/06/2023 20:49 and 03/06/2023 20:59. It is stated that the accused fled on foot, used no vehicle, targeted a victim on a morning walk, left no sign of tools, escaped through the lanes, struck during the day, took gold ornaments and made no attempt to avoid identification. A spot panchnama was drawn up in the presence of witnesses. Enquiries with nearby residents are in progress."
MH-KOL-07/0027/2023,Kolhapur,MH-KOL-07,ATM TAMPERING,02/06/2023 22:30,03/06/2023 08:46,04/06/2023 05:35,,GAS CUTTER,FACE MASKED,RECCE DONE,CASH,ON FOOT,ON FOOT,,,,,,,,,,,,OFFSITE ATM,,,"As per the complaint, unknown persons committed ATM tampering in Kolhapur (MH-KOL-07) sometime between 02/06/2023 22:30 and 03/06/2023 08:46. It is stated that the accused took cash, targeted an offsite ATM kiosk, struck at night, had their faces covered, fled on foot and appear to have watched the place beforehand. A relative of the complainant was the first to notice. Enquiries with nearby residents are in progress."
MH-PUN-08/0030/2023,Pune,MH-PUN-08,HOUSE BREAKING,28/05/2023 04:16,03/06/2023 22:27,04/06/2023 07:21,ONE,NIL,NIL,,GOLD ORNAMENTS;CASH,ON FOOT,TWO WHEELER,WALL HOLE,GRILL CUT,ROW HOUSE,,RANSACKED,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Pune between 28/05/2023 04:16 and 03/06/2023 22:27. It is stated that the accused took gold ornaments, took cash, fled on a two-wheeler, acted alone, targeted a row house and came on foot. A relative of the complainant was the first to notice. Street lights in the area were reported not working."
MH-KOL-08/0031/2023,Kolhapur,MH-KOL-08,HOUSE BREAKING,31/05/2023 14:40,02/06/2023 08:55,04/06/2023 08:29,ONE,CROWBAR;CUTTER,,,GOLD ORNAMENTS,TWO WHEELER,ON FOOT,MAIN DOOR,GRILL CUT,SHOP CUM RESIDENCE,LOCKED - OWNER OUT,,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Kolhapur between 31/05/2023 14:40 and 02/06/2023 08:55. It is stated that the accused came on a two-wheeler, made no attempt to avoid identification, cut the grill, targeted a shop-cum-residence, used a crowbar, used a cutter, fled on foot, acted alone, took gold ornaments and struck while the occupants were out. The beat constable had passed the area about an hour earlier. A spot panchnama was drawn up in the presence of witnesses."
MH-KOL-03/0035/2023,Kolhapur,MH-KOL-03,SHOP BREAKING,03/06/2023 20:07,04/06/2023 05:50,04/06/2023 10:11,4 AND ABOVE,,NIL,RECCE DONE,CASH,FOUR WHEELER,FOUR WHEELER,WINDOW,DOOR FORCED,GODOWN,CLOSED FOR NIGHT,,,,,,,,,,,"On receipt of information, it was learnt that a break-in at commercial premises occurred in Kolhapur between 03/06/2023 20:07 and 04/06/2023 05:50. It is stated that the accused targeted a godown, forced the door open, appear to have watched the place beforehand, were a group of four or more, came in a four-wheeler, struck while the premises were closed for the night, fled in a four-wheeler, took cash and struck at night. Fingerprint experts visited the scene. The beat constable had passed the area about an hour earlier."
MH-NAS-01/0037/2023,Nashik,MH-NAS-01,MOTOR VEHICLE THEFT,03/06/2023 10:39,03/06/2023 16:57,04/06/2023 14:01,2 TO 3,SCREW DRIVER,NIL,RECCE DONE,,ON FOOT,TWO WHEELER,,,,,,,,PAY AND PARK,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Nashik (MH-NAS-01) sometime between 03/06/2023 10:39 and 03/06/2023 16:57. It is stated that the accused took it from a public parking lot, appear to have watched the place beforehand, struck during the day, made no attempt to avoid identification, broke the handle lock, came on foot, fled on a two-wheeler, were two or three persons, stole a motorcycle and used a screwdriver. The complainant has submitted bills for some of the items. Enquiries with nearby residents are in progress."
